la_sample_id	fastq_path	fastq_files_fwd	fastq_files_rev	note	fastq_prefix	gvcf_prefix	gvcf_path	gvcf	genotyped_vcf_path	genotyped_vcf_name	zarr_name
far_sPP_BC123	/QRISdata/Q3833/Raw_data/RAW/farauti	BC123_1.fastq.gz	BC123_2.fastq.gz		BC123	BC123	/QRISdata/Q6151/6_gvcf/1_An_farauti/1_gvcf	BC123.g.vcf.gz	/QRISdata/Q6151/dennistpw/far_hin_1.x/genotyped_vcf		
CP119_2	/QRISdata/Q6151/2_fastqc/1_fastq_run1_Jan24_rawdata	far8_98_89_1_1.fq.gz	far8_98_89_1_2.fq.gz		CP119_2	CP119_2	/QRISdata/Q3833/Scott_Allen/HaplotypeCaller/	CP119_2.g.vcf.gz	/QRISdata/Q6151/dennistpw/far_hin_1.x/genotyped_vcf	CP119_2.vcf.gz	CP119_2
	/QRISdata/Q3833/Raw_data/X201SC21030373-Z01-F001/raw_data/CP119_1	CP119_1_FSFP210084806-1a_HVV2LDSXY_L2_1.fq.gz	CP119_1_FSFP210084806-1a_HVV2LDSXY_L2_2.fq.gz		CP119_1	CP119_1			/QRISdata/Q6151/dennistpw/far_hin_1.x/genotyped_vcf	f1-98-8-4.vcf.gz	f1-98-8-4
f1-98-8-4	/QRISdata/Q3833/Raw_data/05_2022_Macrogen	f1-98-8-4_1.fastq.gz	f1-98-8-4_2.fastq.gz		f1-98-8-4	f1-98-8-4	/QRISdata/Q3833/Luke/HaplotypeCaller/mac_05_22	f1-98-8-4.g.vcf.gz	/QRISdata/Q6151/dennistpw/far_hin_1.x/genotyped_vcf		
f1-Mac-18-10	/QRISdata/Q3833/Raw_data/05_2022_Macrogen/	f1-Mac-18-10_1.fastq.gz	f1-Mac-18-10_2.fastq.gz		f1-Mac-18-10	f1-Mac-18-10	/QRISdata/Q3833/Luke/HaplotypeCaller/mac_05_22	f1-Mac-18-10.g.vcf.gz	/QRISdata/Q6151/dennistpw/far_hin_1.x/genotyped_vcf	f1-Mac-18-10.vcf.gz	f1-Mac-18-10
f1-Mac-18-27	/QRISdata/Q3833/Raw_data/05_2022_Macrogen/	f1-Mac-18-27_1.fastq.gz	f1-Mac-18-27_2.fastq.gz		f1-Mac-18-27	f1-Mac-18-27	/QRISdata/Q3833/Luke/HaplotypeCaller/mac_05_22	f1-Mac-18-27.g.vcf.gz	/QRISdata/Q6151/dennistpw/far_hin_1.x/genotyped_vcf	f1-Mac-18-27.vcf.gz	f1-Mac-18-27
f4-MP126-6	/QRISdata/Q3833/Raw_data/05_2022_Macrogen	f4-MP126-6_1.fastq.gz	f4-MP126-6_2.fastq.gz		f4-MP126-6	f4-MP126-6	/QRISdata/Q3833/Luke/HaplotypeCaller/mac_05_22	f4-MP126-6.g.vcf.gz	/QRISdata/Q6151/dennistpw/far_hin_1.x/genotyped_vcf	f4-MP126-6.vcf.gz	f4-MP126-6
far_BOU_buka-7-far	/QRISdata/Q3833/Raw_data/RAW/new_farauti	buka-7-far_1.fastq.gz	buka-7-far_2.fastq.gz		buka-7-far	far_BOU_buka-7	/QRISdata/Q6151/6_gvcf/1_An_farauti/1_gvcf	far_BOU_buka-7.g.vcf.gz	/QRISdata/Q6151/dennistpw/far_hin_1.x/genotyped_vcf	far_BOU_buka-7.vcf.gz	far_BOU_buka-7
far_BOU_buka-8-far	/QRISdata/Q3833/Raw_data/RAW/new_farauti	buka-8-far_1.fastq.gz	buka-8-far_2.fastq.gz		buka-8-far	far_BOU_buka-8	/QRISdata/Q6151/6_gvcf/1_An_farauti/1_gvcf	far_BOU_buka-8.g.vcf.gz	/QRISdata/Q6151/dennistpw/far_hin_1.x/genotyped_vcf	far_BOU_buka-8.vcf.gz	far_BOU_buka-8
far_BOU_MB2300_1	/QRISdata/Q6151/2_fastqc/1_fastq_run1_Jan24_rawdata	far_BOU_MB2300_1_1.fq.gz	far_BOU_MB2300_1_2.fq.gz		far_BOU_MB2300_1	far_BOU_MB2300_1	/QRISdata/Q6151/6_gvcf/1_An_farauti/1_gvcf	far_BOU_MB2300_1.g.vcf.gz	/QRISdata/Q6151/dennistpw/far_hin_1.x/genotyped_vcf	far_BOU_MB2300_1.vcf.gz	far_BOU_MB2300_1
